question_number,question_text,image,options,answer,explanation,QA type,knowledge topics,book label,level of difficulty,question type,share_context,share_image,pil_image,pil_share_image
1,"Under the contingent claim approach to the firm's capital structure, which of the following
statements is true? Assume the amount of senior debt, subordinated debt, and equity is
represented as F, U, and S, respectively.",[],"{'A': 'A.The value of\\nsubordinated debt is less than the value of senior debt.', 'B': 'B.Subordinated\\ndebt can be represented by a long call with exercise price of F and short\ncall\\nw', 'C': 'C.Subordinated\\ndebt behaves more like equity in distress and more like debt when the firm\nis\\nno', 'D': 'D.The value of\\nsubordinated debt is always greater than the value of equity.'}",C,"Statements a and d are not necessarily true as therelative amounts of senior and
subordinated debt can vary dramatically.Statement b is false. Subordinated debt has priority
after senior debt butahead of equity. Therefore, the subordinated claim is between senior debt,
F,and total debt, F + U. It follows that the subordinated debt can be modeled bya long call
option with strike price = F and a short call with strike price = F+ U (not U). Statement c is
correct. During financial distress, the equity valueis relatively small, and the subordinated
debt claim behaves more like equityas it is closer to receiving “residual” cash flows.
Similarly, when the firmvalue is relatively high, the subordinated debt claim behaves more like
traditionaldebt.",Knowledge reasoning QA,"Contingent claim analysis, capital structure, subordinated debt dynamics",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
2,"Harrison Michaels, FRM, an analyst at Hudson Risk Analytics, is discussing the default
sensitivities of equity, mezzanine, and senior tranches and makes the following statements.
Which of the following statements is(are) most likely correct? I. Default sensitivities are
largest close to the attachment point between tranches. II. Default sensitivities are computed
by shocking the credit default swap (CDS) default curve.",[],"{'A': 'A.I only.', 'B': 'B.II only.', 'C': 'C.Both I and II.', 'D': 'D.\xa0Neither I nor\\nII.'}",A,"Defaultsensitivities are computed by shocking various hypothetical default
probabilities.Default sensitivities are always positive although they will converge to zeroat
high default rates for all tranches. Default sensitivities are largest atvalues that create
losses close to the attachment points.",Knowledge reasoning QA,"Default Sensitivities, Tranche Structure, Credit Default Swaps (CDS)",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
3,"The rate parameter in the exponential distribution measures the rate at which it takes an
event to occur. In the context of waiting for a company to default, the rate parameter is known
as the hazard rate and indicates the rate at which default will arrive. Which of the following
statements about hazard rates (i.e., default intensity) is correct assuming a constant default
intensity of 0.2?",[],"{'A': 'A.1', 'B': 'B.The cumulative\\ndefault probability after 3 periods = e-(0.2)3', 'C': 'C.The conditional\\ndefault probability after 1 period = 2%.', 'D': 'D.The\\nunconditional default probability is memoryless.'}",D,"The cumulative probability of default after three periodsis: 1-e-(0.2)3. The
probability of default in the first period = 1-e-(0.2)1 = 18.1%. The default probability in the
second period is: 1- e-(0.2)2=33.0% - 18.1% = 14.9%. Thus, the conditional probability of
default after oneperiod = 14.9%/(1-18.1%) = 18.2%. It is the conditional default
probabilitythat is memoryless.",math reasoning QA,"Exponential Distribution, Hazard Rate, Default Probability",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
4,"Using the Merton model, calculate the current value of a firm's equity and debt given that
the current value of the firm is $100 million, the principal amount due in five years on the
zero-coupon bond is $100 million, the annual interest rate is 10%, and the volatility of the
firm is 20%.",[],"{'A': 'A.$100 million in\\ndebt and $0 in equity.', 'B': 'B.$60.65 million\\nin debt and $39.35 million in equity.', 'C': 'C.$58.38 million\\nin debt and $41.62 million in equity.', 'D': 'D.\xa0$32.59 million\\nin debt and $67.41 million in equity.'}",C,"$$
S_t = 100N(d) - (100)(0.6065)N\left(d - \sigma\sqrt{T - t}\right)
$$

$$
d = \frac{\ln\left(\frac{100}{(100)(0.6065)}\right)}{(0.20)\sqrt{5 - 0}} + \frac{1}{2}(0.20)\sqrt{5 - 0} = \frac{\ln(1.6488)}{0.4472} + \frac{1}{2}(0.4472) = 1.3418
$$

$$
S_t = 100N(1.3418) - (100)(0.6065)N(1.3418 - 0.4472)
$$

$$
S_t = 100(0.9101) - (60.65)(0.8144)
$$

$$
S_t = 91.01 - 49.39 = 41.62
$$

Therefore, the value of equity of the firm is $41.62$ million. Since the value of debt must be the difference between the firm’s value of $100$ million and the value of equity, the value of debt is $58.38$ million.",math reasoning QA,"Merton Model, Valuation of Debt and Equity, Volatility Measurement",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
5,"The following scenarios illustrate exposures for two trades with and without the impact of
netting. Given the below expected positive exposures (EPE), what is the corresponding netting
factor? Assume that the average correlation between exposures is 0.55.",['/Volumes/Jennie/Reasoning/FinMath/data/FRMLevel2/CreditRiskMeasurementandManagement/CreditRiskMeasurementandManagement_images/5u.png'],"{'A': 'A.0.55.', 'B': 'B.\xa00.67.', 'C': 'C.0.80.', 'D': 'D.1.25.'}",C,"The netting factor is computed as

$$
\text{netting factor} = \frac{\sqrt{n + n(n - 1)\bar{\rho}}}{n}
$$

where:

$n = \text{number of exposures}$

$\bar{\rho} = \text{average correlation}$

Netting factor = 

$$
\frac{\sqrt{5 + 5(5 - 1)0.55}}{5} = 0.8 \text{ or } 80\%
$$",math reasoning QA,"Netting agreements, Exposure at Default (EAD), Counterparty Credit Risk",Credit Risk Measurement and Management,difficult,text only,[],[],[<PIL.PngImagePlugin.PngImageFile image mode=RGB size=770x343 at 0x113F23220>],[]
6,"Asu Walia is a senior analyst working for a sell side company preparing research reports on
the mining sector. Walia noted that one of the companies he follows recently increased risk to
the firm's assets, which he expects will benefit equity holders to the detriment of debt
holders.  Which of the following concepts best describes the scenario in Walia's analysis?",[],"{'A': 'A.Coordination\\nfailures.', 'B': 'B.Adverse\\nselection.', 'C': 'C.Risk shifting.', 'D': 'D.\xa0Principal-agent\\nproblem.'}",C,"The scenario described by Walia relates to risk shifting.Risk shifting occurs when
risks and rewards are transferred from one group ofmarket participants to another group holding
different positions in the firm'scapital structure. In this case, risk to the firm's assets
would benefit equityholders to the detriment of debt holders who have fixed returns but
increased riskof loss.Coordination failures (collective actionproblems) occur when a group of
individuals were to benefit collectively ifthey all took a course of action; however, it would
not benefit an individualif she alone took the same course of action. Adverse selection occurs
whenparties to a transaction have asymmetric information. Principal-agent problemoccurs when a
principal hires an agent for specific duties, where the agent hasmore superior information than
the principal.",Knowledge reasoning QA,"Risk Shifting, Capital Structure, Asymmetric Information",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
7,"Advanced Pharmaceuticals is considering an investment in a very risky drug therapy
treatment.  If the investment is successful, Advanced Pharmaceuticals can earn substantial
profits. On the other hand, if the therapy treatments create long-term side-effects, the firm
will be subject to expensive litigation. How should Advanced Pharmaceuticals structure its
investment to minimize its cost of capital?",[],"{'A': 'A.Ring-fence the\\ninvestment so a special purpose entity (SPE) can issue debt at lower costs.', 'B': 'B.Ring-fence the\\ninvestment into a SPE so the parent company can increase transparency.', 'C': 'C.Securitize the\\ninvestment due to its predictable cash flows.', 'D': 'D.Sell the\\ninvestment in a true sale, increasing adverse selection.'}",B,"By ring-fencing the risky investment into its own SPE, theparent company can issue
debt at favorable terms because its remaining assetsare more transparent. The SPE would contain
a risky investment and wouldincrease the costs to issue debt on its own. The nature of the
investment doesnot have predictable cash flows like mortgages or auto loans. Placing the
investmentin a SPE with a true sale would legally separate the venture from the parent.
Thiswould increase transparency, decreasing adverse selection.",Knowledge reasoning QA,"Corporate finance, Risk management, Special purpose entities (SPE)",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
8,"Harris Smith, CFO of XYZ Bank Corp, is considering a $500 million loan securitization. He has
enlisted a well-respected structuring agent to help decide on the most beneficial structure.
XYZ is a $100 billion regional bank with a moderately strong balance sheet. Its current credit
rating on unsecured debt is BBB. It recently issued a secured bond issue with a credit rating
of A after ring-fencing certain assets. XYZ desires to minimize the cost of funds and achieve
AAA credit rating on the senior tranche of the new securitization. After reviewing the
financials of XYZ and forecasting future economic conditions, the structure has recommended an
arbitrage CDO with the following loss distributions: Equity tranche: 0-30%. Junior tranche: 30-
50% Smith should use which of the following CDO structures?",[],"{'A': 'A.Arbitrage CDO\\nwith $25 million equity trance.', 'B': 'B.\xa0Arbitrage CDO\\nwith $150 million equity tranche.', 'C': 'C.Balance sheet\\nCDO with $25 million equity tranche.', 'D': 'D.Balance sheet\\nCDO with $150 million equity tranche.'}",C,"SinceXYZ wants to securitize loans it originated, this fits the profile of a
balancesheet CDO. Also, the suggested loss distribution likely has too large of anequity
tranche. Hence, the smaller equity tranche of $25 million, whichrepresents 5% of the issue, is
more appropriate to still retain AAA rating ofsenior tranche.",knowledge reasoning QA,"Credit Ratings, Structured Finance, CDOs (Collateralized Debt Obligations)",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
9,"Which of the following statements regarding subprime mortgages is true? I.  Senior tranches
receive the highest return due to overcollateralization. II.  Corporate bonds and subprime
pools with the same credit rating will exhibit the same variation in losses.",[],"{'A': 'A.I only.', 'B': 'B.\xa0II only.', 'C': 'C.Both I and II.', 'D': 'D.Neither I nor\\nII.'}",D,"Senior tranches receive the lowest return because oftheir seniority in the capital
structure and any enhancements. Corporate bondsand subprime pools may have the same credit
rating, but the ABS structure willexhibit larger variation in losses.",Knowledge reasoning QA,"Collateralization, Capital structure, Credit ratings",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
10,"The single-factor model is used to examine the impact of varying default correlations based
on a credit position's beta. Each individual firm or credit, i, has a beta correlation, βi,
with the market, m. Which of the following statements most accurately describes the implication
of using a specific value m for the market parameter in the single-factor model?",[],"{'A': 'A.The conditional\\nprobability of default will be greater than the unconditional probability of', 'B': 'B.The\\nunconditional standard deviation is less than the conditional standard deviation.', 'C': ""C.Individual\\nidiosyncratic shocks, εi, are positively correlated to other firms' shocks."", 'D': ""D.Individual asset returns, aj, are independent from other firms' shocks and returns.""}",D,"Important implication of the single-factor model is thatindividual asset returns,
αi, and idiosyncratic shocks, εi are independent from other firms' shocks and returns.",Knowledge reasoning QA,"Credit risk modeling, Default correlation, Single-factor model",Credit Risk Measurement and Management,difficult,text only,[],[],[],[]
