ID,Question Number,Share Context,Share Image,Question Text,Image,Options,Answer,Explanation,QA Type,Question Type,Level of Difficulty,Knowledge Topics,General Topics,Book Label
0,1,"Neshie Wakuluk is an investment strategist who develops capital market expectations for
an investment firm that invests across asset classes and global markets. Wakuluk started her
career when the global markets were experiencing significant volatility and poor returns; as a
result, she is now careful to base her conclusions on objective evidence and analytical
procedures to mitigate any potential biases.Wakuluk’s approach to economic forecasting
utilizes a structural model in conjunction with a diffusion index to determine the current
phase of a country’s business cycle. This approach has produced successful predictions in the
past, thus Wakuluk has high confidence in the predictions. Wakuluk also determines whether any
adjustments need to be made to her initial estimates of the respective aggregate economic
growth trends based on historical rates of growth for Countries X and Y (both developed
markets) and Country Z (a developing market). Exhibit 1 summarizes Wakuluk’s predictions:
Wakuluk assumes short-term interest rates adjust with expected inflation and are procyclical.
Wakuluk reviews the historical short-term interest rate trends for each country, which further
confirms her predictions shown in Exhibit 1.Wakuluk decides to focus on Country Y to determine
the path of nominal interest rates, the potential economic response of Country Y’s economy to
this path, and the timing for when Country Y’s economy may move into the next business cycle.
Wakuluk makes the following observations:Observation 1 Monetary policy has been persistently
loose for Country Y, while fiscal policies have been persistently tight.Observation 2 Country Y
is expected to significantly increase transfer payments and introduce a more progressive tax
regime.Observation 3 The current yield curve for Country Y suggests that the business cycle is
in the slowdown phase, with bond yields starting to reflect contractionary conditions.
 ",['./dataset/images/CapitalMarketExpectations_images/share1-8_1.png'],Wakuluk most likely seeks to mitigate which of the following biases in,,"{'A': 'Availability', './dataset/images/B': 'Time period', './dataset/images/C': 'Survivorship'}",A,"Wakuluk started her career when the global markets were experiencing significant
volatility and poor returns. She is careful to base her conclusions on objective evidence and
analytical procedures to mitigate potential biases, which suggests she is seeking to mitigate
an availability bias. Availability bias is the tendency to be overly influenced by events that
have left a strong impression and/or for which it is easy to recall an example.",Knowledge reasoning QA,text+image,Easy,"Behavioral finance, Cognitive biases, Decision-making processes",Capital Market Expectations,Capital Market Expectations
1,2,"Neshie Wakuluk is an investment strategist who develops capital market expectations for
an investment firm that invests across asset classes and global markets. Wakuluk started her
career when the global markets were experiencing significant volatility and poor returns; as a
result, she is now careful to base her conclusions on objective evidence and analytical
procedures to mitigate any potential biases.Wakuluk’s approach to economic forecasting
utilizes a structural model in conjunction with a diffusion index to determine the current
phase of a country’s business cycle. This approach has produced successful predictions in the
past, thus Wakuluk has high confidence in the predictions. Wakuluk also determines whether any
adjustments need to be made to her initial estimates of the respective aggregate economic
growth trends based on historical rates of growth for Countries X and Y (both developed
markets) and Country Z (a developing market). Exhibit 1 summarizes Wakuluk’s predictions:
Wakuluk assumes short-term interest rates adjust with expected inflation and are procyclical.
Wakuluk reviews the historical short-term interest rate trends for each country, which further
confirms her predictions shown in Exhibit 1.Wakuluk decides to focus on Country Y to determine
the path of nominal interest rates, the potential economic response of Country Y’s economy to
this path, and the timing for when Country Y’s economy may move into the next business cycle.
Wakuluk makes the following observations:Observation 1 Monetary policy has been persistently
loose for Country Y, while fiscal policies have been persistently tight.Observation 2 Country Y
is expected to significantly increase transfer payments and introduce a more progressive tax
regime.Observation 3 The current yield curve for Country Y suggests that the business cycle is
in the slowdown phase, with bond yields starting to reflect contractionary conditions.
 ",['./dataset/images/CapitalMarketExpectations_images/share1-8_1.png'],Wakuluk’s approach to economic forecasting:,,"{'A': 'is flexible and limited in complexity.', './dataset/images/B': 'can give a false sense of precision and provide false signals.', './dataset/images/C': 'imposes no consistency of analysis across items or at different points in time.'}",B,"Wakuluk’s approach to economic forecasting utilizes both a structural model (e.g.,
an econometric model approach) and a diffusion index (e.g., a leading indicator-based
approach). However, the two approaches have weaknesses: An econometric model approach may give
a false sense of precision, and a leading indicator-based approach can provide false signals.
Two strengths of the checklist approach are its flexibility and limited complexity, although
one weakness is that it imposes no consistency of analysis across items or at different points
in time.",Knowledge reasoning QA,text+image,Easy,"Econometric Models, Leading Indicators, Checklist Approach",Capital Market Expectations,Capital Market Expectations
2,3,"Neshie Wakuluk is an investment strategist who develops capital market expectations for
an investment firm that invests across asset classes and global markets. Wakuluk started her
career when the global markets were experiencing significant volatility and poor returns; as a
result, she is now careful to base her conclusions on objective evidence and analytical
procedures to mitigate any potential biases.Wakuluk’s approach to economic forecasting
utilizes a structural model in conjunction with a diffusion index to determine the current
phase of a country’s business cycle. This approach has produced successful predictions in the
past, thus Wakuluk has high confidence in the predictions. Wakuluk also determines whether any
adjustments need to be made to her initial estimates of the respective aggregate economic
growth trends based on historical rates of growth for Countries X and Y (both developed
markets) and Country Z (a developing market). Exhibit 1 summarizes Wakuluk’s predictions:
Wakuluk assumes short-term interest rates adjust with expected inflation and are procyclical.
Wakuluk reviews the historical short-term interest rate trends for each country, which further
confirms her predictions shown in Exhibit 1.Wakuluk decides to focus on Country Y to determine
the path of nominal interest rates, the potential economic response of Country Y’s economy to
this path, and the timing for when Country Y’s economy may move into the next business cycle.
Wakuluk makes the following observations:Observation 1 Monetary policy has been persistently
loose for Country Y, while fiscal policies have been persistently tight.Observation 2 Country Y
is expected to significantly increase transfer payments and introduce a more progressive tax
regime.Observation 3 The current yield curve for Country Y suggests that the business cycle is
in the slowdown phase, with bond yields starting to reflect contractionary conditions.
 ",['./dataset/images/CapitalMarketExpectations_images/share1-8_1.png'],Wakuluk is most likely to make significant adjustments to her estimate of the,,"{'A': 'Country Y only', './dataset/images/B': 'Country Z only', './dataset/images/C': 'Countries Y and Z'}",B,"Country Z is a developing market. Less-developed markets are likely to be
undergoing more rapid structural changes, which may require the analyst to make more
significant adjustments relative to past trends.",Knowledge reasoning QA,text+image,Easy,"Emerging Markets, Structural Changes, Market Analysis",Capital Market Expectations,Capital Market Expectations
3,4,"Neshie Wakuluk is an investment strategist who develops capital market expectations for
an investment firm that invests across asset classes and global markets. Wakuluk started her
career when the global markets were experiencing significant volatility and poor returns; as a
result, she is now careful to base her conclusions on objective evidence and analytical
procedures to mitigate any potential biases.Wakuluk’s approach to economic forecasting
utilizes a structural model in conjunction with a diffusion index to determine the current
phase of a country’s business cycle. This approach has produced successful predictions in the
past, thus Wakuluk has high confidence in the predictions. Wakuluk also determines whether any
adjustments need to be made to her initial estimates of the respective aggregate economic
growth trends based on historical rates of growth for Countries X and Y (both developed
markets) and Country Z (a developing market). Exhibit 1 summarizes Wakuluk’s predictions:
Wakuluk assumes short-term interest rates adjust with expected inflation and are procyclical.
Wakuluk reviews the historical short-term interest rate trends for each country, which further
confirms her predictions shown in Exhibit 1.Wakuluk decides to focus on Country Y to determine
the path of nominal interest rates, the potential economic response of Country Y’s economy to
this path, and the timing for when Country Y’s economy may move into the next business cycle.
Wakuluk makes the following observations:Observation 1 Monetary policy has been persistently
loose for Country Y, while fiscal policies have been persistently tight.Observation 2 Country Y
is expected to significantly increase transfer payments and introduce a more progressive tax
regime.Observation 3 The current yield curve for Country Y suggests that the business cycle is
in the slowdown phase, with bond yields starting to reflect contractionary conditions.
 ",['./dataset/images/CapitalMarketExpectations_images/share1-8_1.png'],Based on Exhibit 1 and Wakuluk’s assumptions about short-term rates and,,"{'A': 'low and bottoming.', './dataset/images/B': 'approaching a peak.', './dataset/images/C': 'above average and rising.'}",A,"Country X is predicted to be in the initial recovery phase of the business cycle,
which suggests short-term (money market) rates are low or bottoming. Inflation is procyclical.
It accelerates in the later stages of the business cycle when the output gap has closed, and it
decelerates when a large output gap puts downward pressure on wages and prices, which often
happens during a recession or the early years afterward. As long as short-term interest rates
adjust with expected inflation, cash is essentially a zero-duration, inflation-protected asset
that earns a floating real rate, which is typically procyclical. Wakuluk assumes short-term
interest rates adjust with expected inflation and are procyclical. Thus, short-term rates are
most likely to be low and bottoming if Country X is in the initial recovery phase of the
business cycle.",Knowledge reasoning QA,text+image,Easy,"Business cycle phases, Short-term interest rates, Inflation dynamics",Capital Market Expectations,Capital Market Expectations
4,5,"Neshie Wakuluk is an investment strategist who develops capital market expectations for
an investment firm that invests across asset classes and global markets. Wakuluk started her
career when the global markets were experiencing significant volatility and poor returns; as a
result, she is now careful to base her conclusions on objective evidence and analytical
procedures to mitigate any potential biases.Wakuluk’s approach to economic forecasting
utilizes a structural model in conjunction with a diffusion index to determine the current
phase of a country’s business cycle. This approach has produced successful predictions in the
past, thus Wakuluk has high confidence in the predictions. Wakuluk also determines whether any
adjustments need to be made to her initial estimates of the respective aggregate economic
growth trends based on historical rates of growth for Countries X and Y (both developed
markets) and Country Z (a developing market). Exhibit 1 summarizes Wakuluk’s predictions:
Wakuluk assumes short-term interest rates adjust with expected inflation and are procyclical.
Wakuluk reviews the historical short-term interest rate trends for each country, which further
confirms her predictions shown in Exhibit 1.Wakuluk decides to focus on Country Y to determine
the path of nominal interest rates, the potential economic response of Country Y’s economy to
this path, and the timing for when Country Y’s economy may move into the next business cycle.
Wakuluk makes the following observations:Observation 1 Monetary policy has been persistently
loose for Country Y, while fiscal policies have been persistently tight.Observation 2 Country Y
is expected to significantly increase transfer payments and introduce a more progressive tax
regime.Observation 3 The current yield curve for Country Y suggests that the business cycle is
in the slowdown phase, with bond yields starting to reflect contractionary conditions.
 ",['./dataset/images/CapitalMarketExpectations_images/share1-8_1.png'],"Based on Exhibit 1, what capital market effect is Country Z most likely to",,"{'A': 'Cyclical assets attract investors.', './dataset/images/B': 'Monetary policy becomes restrictive.', './dataset/images/C': 'The yield curve steepens substantially.'}",B,"Wakuluk’s model predicts that Country Z’s business cycle is currently in the late
upswing phase. In the late upswing phase, interest rates are typically rising as monetary
policy becomes more restrictive. Cyclical assets may underperform, whereas the yield curve is
expected to continue to flatten.",Knowledge reasoning QA,text+image,Easy,"Business cycles, Monetary policy, Yield curve",Capital Market Expectations,Capital Market Expectations
5,6,"Neshie Wakuluk is an investment strategist who develops capital market expectations for
an investment firm that invests across asset classes and global markets. Wakuluk started her
career when the global markets were experiencing significant volatility and poor returns; as a
result, she is now careful to base her conclusions on objective evidence and analytical
procedures to mitigate any potential biases.Wakuluk’s approach to economic forecasting
utilizes a structural model in conjunction with a diffusion index to determine the current
phase of a country’s business cycle. This approach has produced successful predictions in the
past, thus Wakuluk has high confidence in the predictions. Wakuluk also determines whether any
adjustments need to be made to her initial estimates of the respective aggregate economic
growth trends based on historical rates of growth for Countries X and Y (both developed
markets) and Country Z (a developing market). Exhibit 1 summarizes Wakuluk’s predictions:
Wakuluk assumes short-term interest rates adjust with expected inflation and are procyclical.
Wakuluk reviews the historical short-term interest rate trends for each country, which further
confirms her predictions shown in Exhibit 1.Wakuluk decides to focus on Country Y to determine
the path of nominal interest rates, the potential economic response of Country Y’s economy to
this path, and the timing for when Country Y’s economy may move into the next business cycle.
Wakuluk makes the following observations:Observation 1 Monetary policy has been persistently
loose for Country Y, while fiscal policies have been persistently tight.Observation 2 Country Y
is expected to significantly increase transfer payments and introduce a more progressive tax
regime.Observation 3 The current yield curve for Country Y suggests that the business cycle is
in the slowdown phase, with bond yields starting to reflect contractionary conditions.
 ",['./dataset/images/CapitalMarketExpectations_images/share1-8_1.png'],"Based on Observation 1, fiscal and monetary policies in Country Y will most",,"{'A': 'low nominal rates.', './dataset/images/B': 'high nominal rates.', './dataset/images/C': 'either high or low nominal rates.'}",C,"Monetary policy has been persistently loose for Country Y, while fiscal policies
have been persistently tight. With this combination of persistently loose and tight policies,
the impact could lead to higher or lower nominal rates (typically labeled as mid-nominal
rates).",Knowledge reasoning QA,text+image,Easy,"Fiscal policy, Monetary policy, Interest rates",Capital Market Expectations,Capital Market Expectations
6,7,"Neshie Wakuluk is an investment strategist who develops capital market expectations for
an investment firm that invests across asset classes and global markets. Wakuluk started her
career when the global markets were experiencing significant volatility and poor returns; as a
result, she is now careful to base her conclusions on objective evidence and analytical
procedures to mitigate any potential biases.Wakuluk’s approach to economic forecasting
utilizes a structural model in conjunction with a diffusion index to determine the current
phase of a country’s business cycle. This approach has produced successful predictions in the
past, thus Wakuluk has high confidence in the predictions. Wakuluk also determines whether any
adjustments need to be made to her initial estimates of the respective aggregate economic
growth trends based on historical rates of growth for Countries X and Y (both developed
markets) and Country Z (a developing market). Exhibit 1 summarizes Wakuluk’s predictions:
Wakuluk assumes short-term interest rates adjust with expected inflation and are procyclical.
Wakuluk reviews the historical short-term interest rate trends for each country, which further
confirms her predictions shown in Exhibit 1.Wakuluk decides to focus on Country Y to determine
the path of nominal interest rates, the potential economic response of Country Y’s economy to
this path, and the timing for when Country Y’s economy may move into the next business cycle.
Wakuluk makes the following observations:Observation 1 Monetary policy has been persistently
loose for Country Y, while fiscal policies have been persistently tight.Observation 2 Country Y
is expected to significantly increase transfer payments and introduce a more progressive tax
regime.Observation 3 The current yield curve for Country Y suggests that the business cycle is
in the slowdown phase, with bond yields starting to reflect contractionary conditions.
 ",['./dataset/images/CapitalMarketExpectations_images/share1-8_1.png'],"Based on Observation 2, what impact will the policy changes have on the trend",,"{'A': 'Negative', './dataset/images/B': 'Neutral', './dataset/images/C': 'Positive'}",C,"Country Y is expected to significantly increase transfer payments and introduce a
more progressive tax regime. Both of these changes are pro-growth government policies and
should have a positive impact on the trend rate of growth for a business cycle that is in
slowdown or contraction. Transfer payments help mitigate fluctuations in disposable income for
the most vulnerable households, while progressive tax regimes imply that the effective tax rate
on the private sector is pro-cyclical (i.e., rising as the economy expands and falling as the
economy contracts).",Knowledge reasoning QA,text+image,Easy,"Fiscal Policy, Business Cycle, Economic Growth",Capital Market Expectations,Capital Market Expectations
7,8,"Neshie Wakuluk is an investment strategist who develops capital market expectations for
an investment firm that invests across asset classes and global markets. Wakuluk started her
career when the global markets were experiencing significant volatility and poor returns; as a
result, she is now careful to base her conclusions on objective evidence and analytical
procedures to mitigate any potential biases.Wakuluk’s approach to economic forecasting
utilizes a structural model in conjunction with a diffusion index to determine the current
phase of a country’s business cycle. This approach has produced successful predictions in the
past, thus Wakuluk has high confidence in the predictions. Wakuluk also determines whether any
adjustments need to be made to her initial estimates of the respective aggregate economic
growth trends based on historical rates of growth for Countries X and Y (both developed
markets) and Country Z (a developing market). Exhibit 1 summarizes Wakuluk’s predictions:
Wakuluk assumes short-term interest rates adjust with expected inflation and are procyclical.
Wakuluk reviews the historical short-term interest rate trends for each country, which further
confirms her predictions shown in Exhibit 1.Wakuluk decides to focus on Country Y to determine
the path of nominal interest rates, the potential economic response of Country Y’s economy to
this path, and the timing for when Country Y’s economy may move into the next business cycle.
Wakuluk makes the following observations:Observation 1 Monetary policy has been persistently
loose for Country Y, while fiscal policies have been persistently tight.Observation 2 Country Y
is expected to significantly increase transfer payments and introduce a more progressive tax
regime.Observation 3 The current yield curve for Country Y suggests that the business cycle is
in the slowdown phase, with bond yields starting to reflect contractionary conditions.
 ",['./dataset/images/CapitalMarketExpectations_images/share1-8_1.png'],"Based on Observation 3, Wakuluk most likely expects Country Y’s yield curve in",,"{'A': 'invert.', './dataset/images/B': 'flatten.', './dataset/images/C': 'steepen.'}",C,"The current yield curve for Country Y suggests that the business cycle is in the
slowdown phase (curve is flat to inverted), with bond yields starting to reflect contractionary
conditions (i.e., bond yields are declining). The curve will most likely steepen near term,
consistent with the transition to the contractionary phase of the business cycle, and be the
steepest on the cusp of the initial recovery phase.",Knowledge reasoning QA,text+image,Easy,"Yield Curve Analysis, Economic Phases, Bond Yields",Capital Market Expectations,Capital Market Expectations
183,1,"Jules Bianchi is a bond analyst for Maneval Investments, lnc. Bianchi gathers data on
three corporate bonds, as shown in Exhibit 1.
To assess the interest rate risk of the three bonds, Bianchi constructs two binomial interest
rate trees based on a 10% interest rate volatility assumption and a current one-year rate of
1%. Panel A of Exhibit 2 provides an interest rate tree assuming the benchmark yield curve
shifts down by 30 bps, and Panel B provides an interest rate tree assuming the benchmark yield
curve shifts up by 30 bps. Bianchi determines that the AI bond is currently trading at an
option-adjusted spread (OAS) of 13.95 bps relative to the benchmark yield curve.
Armand Gillette, a convertible bond analyst, stops by Bianchi's office to discuss two
convertible bonds. One is issued by DeLille Enterprises (DE) and the other is issued by
Raffarin Incorporated (RI). Selected data for the two bonds are presented in Exhibits 3 and 4.
 
Gillette makes the following comments to Bianchi:■ “The DE bond does not contain any call or
put options but the RI bond contains both an embedded call option and put option. I expect that
DeLille Enterprises will soon announce a common stock dividend of €0.70 per share.”■ “My
belief is that, over the next year, Raffarin's share price will appreciate toward the
conversion price but not exceed it.”
 ","['./dataset/images/FixedIncome_images/share1-9_1.png', './dataset/images/FixedIncome_images/share1-9_2.png', './dataset/images/FixedIncome_images/share1-9_3.png', './dataset/images/FixedIncome_images/share1-9_4.png']","Based on Exhibits 1 and 2, the effective duration for the AI bond is closest",,"{'A': '1.98', './dataset/images/B': '2.15', './dataset/images/C': '2.73'}",B,"The AI bond's value if interest rates shift down by 30 bps (PV−) is 100.78:
The AI bond's value if interest rates shift up by 30 bps (PV+) is 99.487:

$$
\text{EffDur} = \frac{(PV_-)-(PV_+)}{2 \times (\Delta \text{Curve}) \times (PV_0)} = \frac{100.780 - 99.487}{2 \times 0.003 \times 100.200} = 2.15
$$",Math reasoning QA,text+image,Easy,"Bond duration, Interest rate risk, Bond valuation",Fixed Income,FixedIncome
184,2,"Jules Bianchi is a bond analyst for Maneval Investments, lnc. Bianchi gathers data on
three corporate bonds, as shown in Exhibit 1.
To assess the interest rate risk of the three bonds, Bianchi constructs two binomial interest
rate trees based on a 10% interest rate volatility assumption and a current one-year rate of
1%. Panel A of Exhibit 2 provides an interest rate tree assuming the benchmark yield curve
shifts down by 30 bps, and Panel B provides an interest rate tree assuming the benchmark yield
curve shifts up by 30 bps. Bianchi determines that the AI bond is currently trading at an
option-adjusted spread (OAS) of 13.95 bps relative to the benchmark yield curve.
Armand Gillette, a convertible bond analyst, stops by Bianchi's office to discuss two
convertible bonds. One is issued by DeLille Enterprises (DE) and the other is issued by
Raffarin Incorporated (RI). Selected data for the two bonds are presented in Exhibits 3 and 4.
 
Gillette makes the following comments to Bianchi:■ “The DE bond does not contain any call or
put options but the RI bond contains both an embedded call option and put option. I expect that
DeLille Enterprises will soon announce a common stock dividend of €0.70 per share.”■ “My
belief is that, over the next year, Raffarin's share price will appreciate toward the
conversion price but not exceed it.”
 ","['./dataset/images/FixedIncome_images/share1-9_1.png', './dataset/images/FixedIncome_images/share1-9_2.png', './dataset/images/FixedIncome_images/share1-9_3.png', './dataset/images/FixedIncome_images/share1-9_4.png']","If benchmark yields were to fall, which bond in Exhibit 1would most likely",,"{'A': 'AI bond', './dataset/images/B': 'BI bond', './dataset/images/C': 'CE bond'}",A,"The AI bond is a callable bond and the effective duration of a callable bond
decreases when interest rates fall. The reason is because a decline in interest rates may
result in the call option moving into the money, which limits the price appreciation of the
callable bond. Exhibit 1 also shows that the price of the Al bond is 100.200 and that it is
callable at par in one year and two years. Thus, the call option is already in the money and
would likely be exercised in response to increases in the Al bond's price.",Knowledge reasoning QA,text+image,Easy,"Bond valuation, Duration and convexity, Callable bonds",Fixed Income,FixedIncome
