ID,Question Number,Share Context,Share Image,Question Text,Image,Options,Answer,Explanation,QA Type,Question Type,Level of Difficulty,Knowledge Topics,General Topics,Book Label
54,47,,,"With respect to floating-rate bonds, a reference rate (such as MRR) is most likely used to
determine the bond’s:",,"{'A': 'spread.', 'B': 'coupon rate.', 'C': 'frequency of coupon payments.'}",B,"： B is correct. The coupon rate of a floating-rate bond is expressed as a
reference rate plus a spread. Different reference rates are used depending on where the bond is
issued and its currency denomination, but one of the most widely used set of reference rates is
Libor. A and C are incorrect because a bond’s spread and frequency of coupon payments are
typically set when the bond is issued and do not change during the bond’s life. ： B是正确的。
浮动利率债券的票面利率表示为参考利率加上利差。根据债券发行地和货币面额的不同，使用不同的参考利
率，但使用最广泛的一组参考利率是伦敦银行同业拆借利率。A和C是不正确的，因为债券的息差和息票支付
频率通常是在债券发行时确定的，在债券的有效期内不会发生变化。",Knowledge reasoning QA,text only,Easy,"Floating-rate bonds, Coupon rate determination, Reference rates",Fixed Income,level1_固收
56,49,,,"A bond offers an annual coupon rate of 4%, with interest paid semiannually. The bond matures
in two years. At a market discount rate of 6%, the price of this bond per 100 of par value is
closest to:",,"{'A': '93.07.', 'B': '96.28.', 'C': '96.33.'}",B,"： B is correct. The bond price is closest to 96.28. N=4, I/Y=3, PMT=2, FV=100 CPT
(PV)=96.28 ： B是正确的。债券价格接近96.28。 N=4, I/Y=3, PMT=2, FV=100 CPT (PV)=96.28",Math reasoning QA,text only,Easy,"Bond Valuation, Time Value of Money, Discount Rates",Fixed Income,level1_固收
243,1,,,"Which of the following methods of mitigating counterparty risk is most likely to generate
systemic risk?",,"{'A': 'Netting.', 'B': 'Collateral.', 'C': 'Hedging.', 'D': 'Central counterparties.'}",D,"Mitigating counterparty risk often leads to the generation of other types of risk.
In the case of central counterparties, systemic risk is created as counterparty risk has been
centralized with a limited amount of groups. If one of these groups fails, a substantial shock
may be experienced by the financial system as a whole.在有中央对手方参与的情况下，由于对手方风
险集中在有限的参与人员中，因此会产生系统性风险。",Knowledge reasoning QA,text only,Easy,"Systemic Risk, Central Counterparty, Risk Mitigation Methods",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
244,2,,,Which of the following statements regarding lending and counterparty risk is true?,,"{'A': 'Counterparty risk is defined as the possibility that an obligator will default on an\noutstanding loan.', 'B': 'Lending risk is defined as the possibility that either party to a derivative transaction will\nfail to meet its obligations.', 'C': 'Counterparty risk is very different from and more complex than lending risk.', 'D': 'Counterparty risk and lending risk are the same.'}",C,"Counterparty risk is very different from and more complex than lending risk.
Counterparty risk is defined as the possibility that either party to a derivative transaction
will fail to meet its obligations. Lending risk is defined as the possibility that an obligator
will default on an outstanding loan.对手风险和贷款风险有很大的区别，它比贷款风险更复杂。对手风
险是指衍生品交易的任何一方不能履行义务的可能性。贷款风险是指贷款方对未偿贷款的可能性。",Knowledge reasoning QA,text only,Easy,"Counterparty risk, Lending risk, Derivatives",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
252,10,,,"An analyst notes that stress testing current exposure is problematic because aggregating
results is typically not meaningful, although it is easy to account for the credit quality of
the counterparty. Are the analyst's statements correct?",,"{'A': 'The analyst is correct with regard to both aggregating results and credit quality.', 'B': 'The analyst is correct with regard to aggregating results only.', 'C': 'The analyst is correct with regard to credit quality only.', 'D': 'The analyst is incorrect with regard to both aggregating results and credit quality.'}",B,"The analyst is correct to state that aggregating stress results is not meaningful.
Simply taking the sum of all exposures only considers the loss that would occur if all
counterparties were to simultaneously default. This is an unlikely scenario. The analyst's
statement on credit quality of the counterparty is incorrect since stresses do not factor in
the credit quality of the counterparty.分析人员说汇总压力测试结果没有意义是正确的。简单地计算所
有风险敞口的总和，只考虑所有交易对手同时违约时可能发生的损失。这是一个不太可能发生的情况。分析
师关于交易对手信用质量的陈述是不正确的，因为压力测试并不包括交易对手的信用质量。",Knowledge reasoning QA,text only,Easy,"Stress Testing, Counterparty Risk, Credit Quality",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
483,28,,,A defined benefit plan with a large number of retirees is likely to have a high need for,,"{'A': 'income.', 'B': 'liquidity.', 'C': 'insurance.'}",A,"：A is correct. Income is necessary to meet the cash flow obligation to retirees.
Although defined benefit plans have a need for income, the need for liquidity typically is
quite low. A retiree may need life insurance; however, a defined benefit plan does not need
insurance. ： 一个确定收益型的养老基金，有着较多的退休员工，哪一方面的需求会比较高？ 本题选择
A。企业必须支付退休员工养老金，对于这一块现金流的需求被称为income need。流动性需求指的是对于不
确定的、金额较大的现金流的需求，而养老金计划支付款项可以实现估计，它对于流动性的需求通常很低
，所以B不对； 退休人员虽然可能需要人寿保险，然而，养老金计划不需要配备保险，所以C不对。",Knowledge reasoning QA,text only,Easy,"Defined benefit plans, Cash flow obligations, Retirement planning",Portfolio Management,level1_组合
484,29,,,"With respect to the mean–variance portfolio theory, the capital allocation line, CAL, is
the combination of the risk-free asset and a portfolio of all:",,"{'A': 'risky assets.', 'B': 'equity securities.', 'C': 'feasible investments.'}",A,"： A is correct. The CAL is the combination of the risk-free asset with zero risk
and the portfolio of all risky assets that provides for the set of feasible investments.
Allowing for borrowing at the risk-free rate and investing in the portfolio of all risky assets
provides for attainable portfolios that dominate risky assets below the CAL. ： 本题问资产配置
线是由无风险资产和什么样的资产构成的？ 本题选择A。资产配置线由无风险资产和风险资产构成。",Knowledge reasoning QA,text only,Easy,"Portfolio Theory, Capital Allocation Line (CAL), Risk-Free Asset",Portfolio Management,level1_组合
623,19,,,"In futures trading, clearinghouses play an important role. Which of the functions should the
clearing houses fulfill in the settlement process of futures?",,"{'A': 'In case of physical settlement, the clearinghouse guarantees that the longs will receive the\nspecified merchandise.', 'B': 'The clearinghouse receives delivery notices from the longs and assigns the notices to the\nshorts.', 'C': 'Each day, members who have lost money pay their loss amount to the clearinghouse, while\nmembers who have gained will not receive their gain amount from the clearinghouse.', 'D': 'The clearinghouse implements a procedure where short positions and long positions in a'}",D,"本题考查期货的交易机制。在期货的交易过程中，清算所会采用净额结算的方式，即在特定合
约中，空头头寸和多头头寸相互抵消，最终支付净额的过程。因此正确选项为D。对于选项A，在实物交割的
过程中，卖方可以选择交割的资产类别和质量，因此清算所无法保证多头方一定能收到确定的标的资产。因
此，该选项错误。对于选项B，清算所从卖方获取交割通知，然后传递给买方。因此，该选项错误。对于选项
C，期货交易过程中每日结算，清算所会把亏损一方保证金账户中的资金划转给盈利一方的保证金账户中，盈
利和亏损在当天均会结算。因此，该选项错误。",Knowledge reasoning QA,text only,Hard,"Futures trading mechanisms, Clearinghouse functions in settlement, Cash flow and margin accounts in futures trading",Financial Markets and Products,Financial Markets and Products2
631,30,,,"A financial institution has entered into a plain vanilla currency swap with one of its
customers. The period left on the swap is two years with the institution paying 4.5% on USD120
million and receiving 2% on JPY3,500 million annually. The current exchange rate is 120
JPY/USD, and the flat term structure in both countries generates a 3% rate in the United States
and a 0.5% rate in Japan. The current value of this swap to the institution is closest to
(continuously compounded):",,"{'A': '$93.04 million', 'B': '-$93.04 million', 'C': '$118.1 million', 'D': '-$118.1 million'}",B,"本题考虑货币互换的估值。该家金融机构支付美元，收入日元，其互换的价值为：

$$
V_{swap} = PV_{JPY} - PV_{USD}
$$

第一步：计算美债的价值：
$$
PV_{USD} = 120 \times 4.5\% \times e^{-0.03 \times 2} + (120 \times 4.5\% + 120)e^{-0.03 \times 2} = 123.34 \text{m}
$$

第二步：计算日元债价值，并转换成美元计价：
$$
PV_{JPY} = \frac{(3500 \times 2\% \times e^{-0.005} + (3500 \times 2\% + 3500)e^{-0.005 \times 2})}{120} = 30.30 \text{m}
$$

第三步：计算互换的价值：
$$
Value(swap) = PV_{JPY} - PV_{USD} = -93.04 \text{million}
$$

因此，选项 B 正确。",Math reasoning QA,text only,Hard,"Currency Swaps, Exchange Rate Risk, Interest Rate Risk",Financial Markets and Products,Financial Markets and Products2
632,31,,,"Which option combination most closely simulates the economics of a short position in a
futures contract? Suppose the options and futures contracts have the same underlying assets and
options’ strike price is equal to the futures price.",,"{'A': 'Payoff of a long call plus a short put', 'B': 'Profit of a long call plus a short put', 'C': 'Payoff of a long put plus short call', 'D': 'Profit of long put plus short call'}",C,"该题主要考虑为期权的损益和利润。买入一份 put option 的损益为：

$$
\max(0, X - S_t)
$$

卖出一份 call option 的损益为：

$$
-\max(0, S_t - X) = \min(0, X - S_t)
$$

上述两个头寸组合的损益为：

$$
X - S_t
$$

与 short futures 的损益相同。因此正确选项为 $C$。

对于选项 D，买入一份 call option 和卖出一份 put option 的组合损益与 long futures 的损益相同。因此，该选项错误。

对于选项 B，计算期权收益时需要考虑期权的期权费、call option 和 put option 的期权费是不相等的，所以买入一份 call option 和卖出一份 put option 的组合利润为：

$$
S_t - X + p - c
$$

因此，该选项错误。

对于选项 D，买入一份 put option 和卖出一份 call option 的组合利润为：

$$
X - S_t + c - p
$$

因此，该选项错误。",Knowledge reasoning QA,text only,Hard,"Options strategies, Derivatives, Futures contracts",Financial Markets and Products,Financial Markets and Products2
633,32,,,"There are important differences between options and forwards/futures, with forwards and
futures, a trader is obligated to buy or sell the underlying asset at a certain price. In the
U.S., tens of millions of options are traded daily on exchanges such as the CBOE, NASDAQ, the
New York Stock Exchange, and the International Securities Exchange. What is the correct number
of the following statement?Ⅰ. A European call (or put) option gives the buyer the right to buy
(or sell) an asset at a certain price at any time before and during the specified date.Ⅱ.
Options can be in the money, at the money, out of the money, this is referred to as their
moneyness, a call option is out of the money when the asset price is greater than the strike
price.Ⅲ. Cash dividends usually don’t affect the terms of a stock option while stock splits
do lead to strike price adjustment.Ⅳ. Like the exchange-traded options market, the OTC options
market is substantial, the main advantage of the OTC market is that financial institutions can
tailor options to meet the specific needs of their clients.",,"{'A': '1', 'B': '2', 'C': '3', 'D': '4'}",B,"本题考查期权的基本性质。对于Statement Ⅰ，欧式期权只能在到期日行权，在到期日前的任
何时间都不能行权，因此该陈述错误。对于Statement II，看涨期权的标的资产价格大于行权价格时，看涨
期权盈利，为价内期权，而不是价外期权。因此该陈述错误。对于Statement III，股票期权的标的资产股票
在分发股利时，一般不会影响股票期权，但如果是拆股的话，对应的股票期权的行权价要经过适当的调整。
因此该陈述正确。对于Statement IV，期权可以再场内和场外交易，场外交易的期权灵活度更高，可以满足
客户的个人需求。因此该陈述正确。因此有2个陈述正确，选项B正确。",Knowledge reasoning QA,text only,Hard,"Option Pricing and Valuation, Derivative Instruments, Market Structure and Types",Financial Markets and Products,Financial Markets and Products2
