ID,Question Number,Share Context,Share Image,Question Text,Image,Options,Answer,Explanation,人员,QA Type,Question Type,Level of Difficulty,Knowledge Topics,General Topics,Book Label
13,6,,,"A two-year floating-rate note pays 6-month Libor plus 80 basis points. The floater is priced
at 97 per 100 of par value. Current 6-month Libor is 1.00%. Assume a 30/360 day-count
convention and evenly spaced periods. The discount margin for the floater in basis points (bps)
is closest to:",,"{'A': '180 bps.', 'B': '236 bps.', 'C': '420 bps.'}",B,"B is correct. The discount or required margin is 236 basis points. Given the
floater has a maturity of two years and is linked to 6-month Libor, the formula for calculating
discount margin is:

B是正确的。折现率差为236个基点。鉴于浮动利率的到期日为两年，且与6个月伦敦银行同业拆借利率挂钩
，计算折现率差的公式为：

Substituting given values in:

$$
97 = \frac{(0.01 + 0.0080) \times 100}{2 \left(1 + \frac{0.01 + DM}{2}\right)^1} + \frac{(0.01 + 0.0080) \times 100}{2 \left(1 + \frac{0.01 + DM}{2}\right)^2} + \dots + \frac{(0.01 + 0.0080) \times 100}{2 \left(1 + \frac{0.01 + DM}{2}\right)^4} + 100
$$

$$
97 = \frac{0.90}{\left(1 + \frac{0.01 + DM}{2}\right)^1} + \frac{0.90}{\left(1 + \frac{0.01 + DM}{2}\right)^2} + \frac{0.90}{\left(1 + \frac{0.01 + DM}{2}\right)^3} + \frac{0.90 + 100}{\left(1 + \frac{0.01 + DM}{2}\right)^4}
$$

To calculate $DM$, begin by solving for the discount rate per period:

$$
97 = \frac{0.90}{(1+r)^1} + \frac{0.90}{(1+r)^2} + \frac{0.90}{(1+r)^3} + \frac{0.90 + 100}{(1+r)^4}
$$

$$
r = 0.0168
$$

Now, solve for $DM$:

$$
\frac{0.01 + DM}{2} = 0.0168
$$

$$
DM = 0.0236
$$",嘉辰,Math reasoning QA,text+image,Easy,"Fixed Income Securities, Interest Rate Risk, Bond Valuation",Fixed Income,level1_固收
127,120,,,"A bond has an annual modified duration of 7.140 and annual convexity of 66.200. The bond’s
yield-to-maturity is expected to increase by 50 basis points. The expected percentage price
change is closest to:",,"{'A': '–3.40%.', 'B': '–3.49%.', 'C': '–3.57%.'}",B,"B is correct. The expected percentage price change is closest to 3.49%. The
convexity-adjusted percentage price change for a bond given a change in the yield-to-maturity
is estimated by:
这道题目问的是债券的修正久期为7.140，年凸性为66.200。该债券的到期收益率预计将增加50个基点。预期
价格变动百分比最接近： B是正确的。预期价格变动百分比接近-3.49%。考虑到期收益率的变化，债券的凸
性调整百分比价格变化估计如下：
$$
\% \Delta PV^{Full} \approx \left[ -\text{AnnModDur} \times \Delta \text{Yield} \right] + \left[ 0.5 \times \text{AnnConvexity} \times \left( \Delta \text{Yield} \right)^2 \right]
$$

$$
\% \Delta PV^{Full} \approx \left[ -7.140 \times 0.005 \right] + \left[ 0.5 \times 66.200 \times \left( 0.005 \right)^2 \right] = -0.034873, \text{ or } -3.49\%
$$
",嘉辰,Math reasoning QA,text+image,Easy,"Bond Duration, Convexity, Yield-to-Maturity",Fixed Income,level1_固收
315,73,,,"ABC Company, domiciled in a country with a strong legal system, is applying for a USD
100,000 loan with an annual interest rate of 5% to be used exclusively on expanding its
business and not to repay current debt. The loan will be secured by the company’s factory
buildings, which have an appraised value of USD 200,000. The company has an annual operating
profit of USD 3,000. Which of the following statements relating to the credit risk of this
company can most likely be inferred from the given data?",,"{'A': 'The company’s capacity to pay is low.', 'B': 'The company’s willingness to pay is low.', 'C': 'The loan exhibits a high loss given default.', 'D': 'The loan’s exposure at default will increase.'}",A,"Since the company applied for a loan of 100,000 ($), the annual interest was 5,000
($) and the value of the collateral was 200,000 ($), but the company's annual operating profit
was only 3,000 ($), so the company's loan solvency was very low.由于公司所申请贷款为10万（美元
），年利息为5000（美元），抵押物的价值为20万（美元），但公司的年营业利润仅3000（美元），因此该
公司的贷款偿付能力很低。",醇厚,Knowledge reasoning QA,text only,Easy,"Credit risk assessment, Collateral evaluation, Debt servicing capability",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
329,87,,,"An investor holds a portfolio of two long assets X and Y, valued recently at USD 85 million
and USD 112 million, respectively. The 1-year probability of default for assets X and Y is 12%
and 14%, and the joint probability of default is 4.5%. The loss given default for both assets
is 45%.Calculate the estimated expected loss on the investor’s portfolio due to credit
defaults over the next year.",,"{'A': 'USD 3.9 million', 'B': 'USD 11.6 million', 'C': 'USD 14.2 million', 'D': 'USD 16.5 million'}",B,"```markdown
| Scenario | Loss | Probability | Loss * Probability|
|----------|------|-------------|
| 0 | 0 | 0.785 | 0 |
| X | 38.25 | 0.075 | 2.86875 |
| Y | 50.4 | 0.095 | 4.788 |
| X+Y | 88.65 | 0.045 | 3.98925 |
|    |    | EL | 11.646 |
```",醇厚,Math reasoning QA,text only,Easy,"Credit risk, Probability of default, Loss given default",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
333,91,,,"The cumulative probability of default for a note over two years is 3.8%. If the probability
of default during the first year is 1.5%, the probability of default during the second year is
closest to:",,"{'A': '2.96%', 'B': '2.34%', 'C': '3.17%', 'D': '3.28%'}",B,"$$
c_2 = 1 - (1 - d_1)(1 - d_2)
$$

$$
0.038 = 1 - (1 - 0.015)(1 - d_2)
$$

$$
\Rightarrow d_2 = 0.0234
$$",醇厚,Math reasoning QA,text only,Easy,"Credit Risk Modeling, Probability Theory, Default Probability Calculation",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
335,93,,,"The capital structure of ABC Corporation consists of two parts, one 5 year bond with face
value of $100 million and the rest is equity. The current market value of the firm assets is
$130 and the expected rate of change of the firm’s value is 25%. The volatility is 30%. The
firm’s risk management division estimates the distance to default using Merton model. Given
the distance to default, the estimated physical default probability is? (N(1.92) = 97.25%;
N(2.58) = 99.52%)",,"{'A': '2.75%', 'B': '12.78%', 'C': '12.79%', 'D': '30.56%'}",A,"$$
d_2 = \frac{\ln\left[\frac{130}{100} \times e^{-25\% \times 5}\right]}{0.3 \times \sqrt{5}} - \frac{1}{2} \times 0.3 \times \sqrt{5} = 1.92
$$

The physical default probability is $N(-d_2) = 2.75\%$",醇厚,Math reasoning QA,text only,Easy,"Merton Model, Default Probability, Capital Structure",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
345,103,,,"A firm has issued a single zero-coupon bond that matures in 5 years and has a face value of
100. Assume that the volatility of the firm value is 0.5. Assume the risk-free rate is 0.04,
and that firm value equal to 400. Using the Merton model, what is the value of the bond? In the
following table, N(d) denotes the cumulative distribution function for a standard normal
distribution evaluate at d.",,"{'A': '75.50', 'B': '324.47', 'C': '310.40', 'D': '89.60'}",A,"$$
\begin{array}{ccc|ccc}
d & N(d) & & d & N(d) \\
-1.978 & 0.024 & & 0.681 & 0.752 \\
-1.960 & 0.025 & & 0.860 & 0.805 \\
-1.799 & 0.036 & & 0.995 & 0.840 \\
-1.505 & 0.066 & & 1.505 & 0.934 \\
-0.995 & 0.160 & & 1.799 & 0.964 \\
-0.681 & 0.248 & & 1.960 & 0.975 \\
-0.123 & 0.451 & & 1.978 & 0.976 \\
\end{array}
$$

$V = 400, F = 100, r = 0.04, \sigma = 0.5, T - t = 5$

$$
Bond = V \times N(-d_1) + F \times e^{-r \times (T-t)} \times N(d_2)
$$

$$
d_{1,2} = \frac{\ln [V / F \times e^{-r \times (T-t)}]}{\sigma \times \sqrt{T - t}} \pm \frac{1}{2} \times \sigma \times \sqrt{T - t}
$$

$d_1 = 1.978, d_2 = 0.860$

Bond = 75.50",醇厚,Math reasoning QA,text only,Easy,"Credit Risk Modeling, Merton Model, Bond Valuation.",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
351,109,,,"Suppose a credit position has a correlation to the market factor of 0.5. What is the
realized market value that is used to compute the probability of reaching a default threshold
at the 99% confidence level?",,"{'A': '-0.2500.', 'B': '-0.4356.', 'C': '-0.5825.', 'D': '-0.6243.'}",D,"$$
-2.33 = \frac{-2.33 - 0.5\overline{m}}{\sqrt{1 - 0.5^2}}
$$

$$
-2.33 \times 0.86603 = -2.33 - 0.5\overline{m}
$$

$$
-2.01785 + 2.33 = -0.5\overline{m}
$$

$$
0.31215 = -0.5\overline{m}
$$

$$
-0.62430 = \overline{m}
$$",醇厚,Math reasoning QA,text only,Easy,"Credit risk, Market correlation, Default probability",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
356,114,,,"A corporate bond with a face value of $1,000 has a remaining maturity of 15 years. Using
the Merton model, the current value of the bond is calculated at $650. Assuming that the risk-
free rate is equal to 2%, what is the credit spread for this bond?",,"{'A': '23 bps.', 'B': '65 bps.', 'C': '87 bps.', 'D': '98 bps.'}",C,"$$
\text{Credit Spread} = -\left( \frac{1}{T - t} \right) \ln \left( \frac{D}{F} \right) - r = - \left( \frac{1}{15}\right) * \ln \left(\frac{650}{1000}\right) - 0.02
$$

$$
= 87 \text{bps}
$$",醇厚,Math reasoning QA,text only,Easy,"Credit Risk, Bond Valuation, Merton Model",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
357,115,,,"The forward probability of default for years one and two is 0.5% and 1.1%, respectively. If
the cumulative probability of default for the 3-year period is 4.45%, the forward probability
of default for year three is closest to:",,"{'A': '2.8%', 'B': '3.2%', 'C': '2.9%', 'D': '2.7%'}",C,"$$
c_2 = 1 - (1 - d_1)(1 - d_2)(1 - d_3)
$$

$$
0.0445 = 1 - (1 - 0.005)(1 - 0.011)(1 - d_3) \\
\Rightarrow d_3 = 2.9\%
$$",醇厚,Math reasoning QA,text only,Easy,"Credit Risk, Probability of Default, Cumulative Probability",Credit Risk Measurement and Management,Credit Risk Measurement and Management1
